epoch,train_loss,eval_loss,eval_top1
180,2.3395178583611598,1.399594188785553,62.68
181,2.3373342253334544,1.382083943939209,62.4
182,2.3359245675474063,1.385937524986267,62.61
183,2.3377365426431087,1.37712236328125,62.15
184,2.3314134870082253,1.386152917098999,62.69
185,2.334619228726923,1.389642258167267,61.96
186,2.329763910223977,1.3606103017807007,63.15
187,2.334512293415094,1.3788926636695862,62.69
188,2.3348236199988293,1.3846169107437134,62.65
189,2.326345728698369,1.3592754117965697,62.76
190,2.3342863368621707,1.3835752500534058,62.18
191,2.33414894411109,1.4066623337745667,62.68
192,2.320646276241991,1.4023250633239746,62.25
193,2.321059251716897,1.3947563134193421,62.06
194,2.3322232401477847,1.3719659174919128,62.73
195,2.3305428892030604,1.372214190864563,63.28
196,2.3295347615790276,1.382337628555298,62.59
197,2.3250123308196415,1.3553577434539794,62.97
198,2.316819097260049,1.3927704418182374,62.65
199,2.3217371989151276,1.3638662956237793,63.13
200,2.317910154558785,1.372499471092224,62.73
201,2.3170585279733364,1.38155922832489,62.74
202,2.3195946909554026,1.391417724609375,62.38
203,2.3191560439660517,1.3588815713882447,63.36
204,2.3155045149115687,1.4002353593826293,62.19
205,2.3156545331627703,1.3654120553970337,63.09
206,2.309753386525583,1.3644620279312134,62.92
207,2.3093183468001754,1.3763229977607727,62.84
208,2.312886961290992,1.373946439743042,62.78
209,2.3114396935083192,1.3523285844802857,63.19
210,2.3195544681231586,1.4013887702941894,62.35
211,2.305498117216113,1.3628732421875,63.0
212,2.310132461381783,1.3621817798614502,63.14
213,2.3084036133200807,1.3587258624076843,63.12
214,2.3088954639801145,1.3641772062301636,63.16
215,2.3026063913877732,1.3647830558776854,62.8
216,2.3050297278906107,1.3443141162872314,63.81
217,2.3088027078577253,1.3533378200531005,63.43
218,2.306549225207633,1.3467887259483338,63.53
219,2.3088245344528318,1.3668007347106934,62.91
220,2.298015541364838,1.3562122682571411,63.03
221,2.302875673267203,1.3544189878463746,63.04
222,2.297913674508411,1.3415343320846558,63.58
223,2.2995733244013086,1.3448376420021058,64.0
224,2.297805143990071,1.3267112565994263,63.91
225,2.292934805269278,1.3352145597457885,63.61
226,2.3041615957792527,1.350547032546997,63.17
227,2.291157450474484,1.3641502225875854,63.31
228,2.2937679950162178,1.3341478252410888,63.82
229,2.298218413595964,1.3414467537879944,63.78
230,2.291716479003506,1.342744940185547,63.66
231,2.28763977879904,1.351587355327606,63.36
232,2.2960346586115077,1.3542481595993041,63.05
233,2.295901231973333,1.3408950550079346,63.41
234,2.292120420368014,1.337880636024475,63.61
235,2.2789169624734016,1.3477355220794678,63.71
236,2.286919879089092,1.3440399946212769,63.39
237,2.2830903354588603,1.3282775456428528,64.01
238,2.2797321934400845,1.330724242401123,63.67
239,2.2876972888099094,1.3487901448249817,63.47
240,2.2852102402077747,1.3594287170410155,63.09
241,2.284074830032036,1.3458694988250732,63.34
242,2.285209520983482,1.3380192644119262,63.53
243,2.280920542156498,1.3695939943313598,62.49
244,2.2829385980601193,1.3684455030441285,63.35
245,2.2870822342043495,1.3335136514663697,64.18
246,2.278331346762165,1.3375314884185792,64.11
247,2.2673666429885984,1.3189936851501465,64.2
248,2.2844066195542925,1.3212160634994508,63.67
249,2.2702757437616854,1.3288983187675476,64.23
250,2.278042224091543,1.3500078488349914,63.51
251,2.278462922222025,1.336903769493103,63.89
252,2.2761809418357135,1.3335906989097595,63.99
253,2.280688828909138,1.3369399127960204,63.45
254,2.2810240800798933,1.3251570785522462,64.45
255,2.2731275825585966,1.308989408302307,64.86
256,2.272340651358288,1.3199087577819824,63.97
257,2.2755644344337163,1.3256832494735717,64.3
258,2.2697158314659713,1.3147084892272949,64.4
259,2.271719779919418,1.3383232654571533,63.55
260,2.2691521414110816,1.3160548288345337,64.51
261,2.2777207558652655,1.3203520639419555,64.2
262,2.263615086960884,1.3288801280021667,64.0
263,2.262899918837065,1.3216868841171265,64.19
264,2.2675380192401313,1.328522606086731,63.76
265,2.2795104569875932,1.3172874262809753,64.16
266,2.269798574771222,1.3237333652496337,64.3
267,2.2598713480708845,1.317633455848694,64.3
268,2.258612449434747,1.3186364854812622,64.45
269,2.2610960989694435,1.3143446058273316,64.21
270,2.2643620601536827,1.3423813005447387,63.43
271,2.2610112295871203,1.327838282585144,64.03
272,2.263635956981576,1.309651721382141,64.77
273,2.254636779942677,1.315721709060669,64.25
274,2.2588795153340673,1.3200747167587281,64.22
275,2.2570856229596497,1.2994196222305299,64.32
276,2.25733559537636,1.312972573852539,63.98
277,2.2526011044176224,1.3160008100509644,64.42
278,2.254365231865652,1.2965362297058105,64.97
279,2.2607338964252253,1.302735228729248,64.48
280,2.2592391999827153,1.3436200303077699,63.95
281,2.245752414271102,1.3209091313362122,64.31
282,2.261897552028661,1.3268260471343993,64.27
