epoch,train_loss,eval_loss,eval_top1
0,4.6885286751233055,4.6437849502563475,1.61
1,4.499635484551345,4.220760352325439,6.51
2,4.360606313820227,4.049740391159058,9.07
3,4.26610927697791,3.9241284358978272,10.37
4,4.195695677426347,3.817248683166504,12.34
5,4.152688942248629,3.883028969573975,11.19
6,4.099838815181112,3.7328792850494383,13.88
7,4.047166275459124,3.6705359230041505,14.04
8,4.001464894425395,3.6559226249694823,14.4
9,3.9560254383331377,3.5119974838256836,17.51
10,3.911803752298392,3.4543242599487303,18.6
11,3.8699614290391287,3.3161765796661378,20.71
12,3.8406683495041656,3.3460960063934326,19.97
13,3.802108632159752,3.294770613861084,21.27
14,3.7714113969351053,3.2113325607299803,22.8
15,3.7365924106212036,3.2174482093811037,22.33
16,3.709019596537005,3.151677458572388,23.97
17,3.6841259204166037,3.092124412536621,25.27
18,3.6520230535050513,3.062278341293335,26.28
19,3.633803194524689,3.094335047531128,25.36
20,3.6080295529774604,3.029025539779663,27.3
21,3.571190232351403,2.949263450241089,28.15
22,3.5563082917856956,2.9144788078308106,29.21
23,3.5374601293312296,2.9100233963012694,29.33
24,3.5160725455583286,2.865185082244873,29.92
25,3.486044797640909,2.8798261325836183,29.89
26,3.4709906184261192,2.795550923156738,31.79
27,3.4515897116496226,2.7955827800750734,31.19
28,3.433269631084193,2.7205843769073486,32.71
29,3.414100555695889,2.7021076435089113,33.07
30,3.395131455188219,2.6928041236877442,32.91
31,3.3852692437996175,2.829333908081055,30.75
32,3.3661557785527503,2.7333446628570557,32.59
33,3.350388355658088,2.6592164165496825,34.48
34,3.343658083684924,2.7007059463500975,33.7
35,3.317779247953095,2.654624845123291,34.2
36,3.3157621562557247,2.613545048904419,34.85
37,3.2930838548877635,2.6880256702423098,33.86
38,3.2805756893719664,2.608965665817261,35.44
39,3.264949761951168,2.5864375,34.99
40,3.26229645287029,2.611916186141968,35.11
41,3.2511530447555717,2.580206814956665,35.83
42,3.229830672585247,2.6122111392974854,35.51
43,3.223780772750112,2.5056998638153076,36.46
44,3.2101570140384377,2.5692874641418455,36.04
45,3.1941922996169323,2.5236803634643556,37.39
46,3.1934046699509273,2.4529819297790527,38.57
47,3.166270413258317,2.495974566268921,38.16
48,3.1743414539381116,2.4535177169799804,38.89
49,3.1582618013081567,2.4408211093902588,39.69
50,3.1604157770183723,2.479385066986084,38.5
51,3.1450353560160735,2.4635326499938963,38.05
52,3.136517295458863,2.4760859561920165,38.25
53,3.12688495865552,2.5591382232666016,36.79
54,3.116703167157045,2.42935678062439,39.0
55,3.1047913774790747,2.4090929122924805,39.35
